objName,stdId,stdFlavor,ra,dec,v,bv,u,g,r,i,z,ue,ge,re,ie,ze
Hilt190,38,0,29.60014438502574,61.89543778472222,11.523,0.64,12.426,11.523,10.883,10.565,10.341,0.003,0.002,0.002,0.002,0.002
Yan015840+615916,39,0,29.67006,61.98804,13.047,0.351,13.941,13.047,12.696,12.546,12.469,0.015,0.008,0.003,0.009,0.01
ugrizJ015938.6-600032,40,0,29.910958,-60.008889,13.027,0.408,14.291,13.027,12.619,12.503,12.483,0.003,0.002,0.002,0.002,0.003
ugrizJ015948.7-301039,41,0,29.953042,-30.1775,12.383,0.582,14.079,12.383,11.801,11.632,11.582,0.004,0.002,0.001,0.001,0.003
ugrizJ020018.0-300047,42,0,30.075042,-30.013083,12.681,0.41,13.889,12.681,12.271,12.142,12.11,0.005,0.002,0.002,0.001,0.002
LHS-0149,43,0,31.27726197226084,-17.61561768088889,10.947,1.335,13.694,10.947,9.612,8.441,7.901,0.023,0.005,0.005,0.003,0.004
LHS-0014,44,0,33.07945194925812,3.567181741361111,10.763,1.282,13.387,10.763,9.481,8.547,8.104,0.01,0.002,0.003,0.002,0.003
Hilt233,45,0,33.12487,59.90107,11.493,0.834,12.627,11.493,10.659,10.211,9.919,0.003,0.002,0.001,0.002,0.002
Feige22,46,0,37.56963979095936,5.264116013333333,12.691,-0.333,12.741,12.691,13.024,13.327,13.6,0.003,0.002,0.001,0.002,0.003
94_242,47,0,44.33841,0.31094,11.818,0.106,12.975,11.818,11.712,11.745,11.791,0.003,0.002,0.001,0.001,0.002
94_251,48,0,44.44559,0.26753,11.782,0.979,14.555,11.782,10.803,10.43,10.217,0.004,0.001,0.001,0.001,0.001
94_702,49,0,44.55576,1.18176,12.275,1.159,15.464,12.275,11.116,10.657,10.394,0.009,0.002,0.002,0.001,0.002
Ross374,50,0,51.750434394926494,23.775059654222222,11.031,0.385,12.058,11.031,10.646,10.505,10.455,0.003,0.002,0.002,0.002,0.002
Ross34,51,0,52.228065467315176,37.3773499455,11.759,1.229,14.339,11.759,10.53,10.0,9.729,0.007,0.002,0.001,0.001,0.002
ugrizJ033250.4-274833,52,0,53.210042,-27.809194,14.279,0.433,15.598,14.279,13.846,13.705,13.655,0.005,0.002,0.002,0.002,0.002
23_15,53,0,56.02138,45.10083,10.787,0.161,12.104,10.787,10.626,10.63,10.655,0.004,0.002,0.002,0.003,0.004
23_57,54,0,56.2473,45.06345,11.269,1.61,15.07,11.269,9.659,8.541,7.939,0.019,0.004,0.003,0.004,0.004
23_264,55,0,56.26883,45.29705,10.858,0.858,13.264,10.858,10.0,9.684,9.51,0.003,0.002,0.002,0.002,0.002
GD50,56,1,57.20886150598633,-0.9758029083333333,13.738,-0.535,13.372,13.738,14.273,14.628,14.98,0.003,0.003,0.004,0.004,0.005
95_96,57,0,58.225874132778046,0.005071901111111111,10.001,-0.07,11.143,10.001,10.071,10.194,10.245,0.003,0.002,0.002,0.001,0.001
95_190,58,0,58.30504,0.273,12.719,0.126,14.019,12.719,12.593,12.591,12.548,0.003,0.002,0.002,0.002,0.003
95_193,59,0,58.33561,0.27635,14.941,1.097,17.43,14.941,13.844,13.437,13.223,0.016,0.005,0.004,0.003,0.005
95_43,60,0,58.45244,-0.05057,11.02,0.342,12.136,11.02,10.678,10.569,10.535,0.003,0.003,0.003,0.003,0.004
Hilt404,61,0,58.497879732997234,53.21589950555556,11.471,0.656,12.505,11.471,10.815,10.473,10.223,0.004,0.002,0.002,0.002,0.003
95_218,62,0,58.70811,0.16879,12.401,0.5,13.843,12.401,11.901,11.734,11.676,0.007,0.002,0.001,0.003,0.005
95_132,63,0,58.71513,0.0893,12.246,0.252,13.727,12.246,11.994,11.916,11.863,0.006,0.004,0.003,0.002,0.005
95_139,64,0,58.76951,0.05239,12.63,0.754,14.662,12.63,11.876,11.607,11.485,0.005,0.004,0.002,0.001,0.002
95_142,65,0,58.7891,0.02215,13.197,0.422,14.469,13.197,12.775,12.612,12.524,0.01,0.004,0.005,0.005,0.007
95_68,66,0,58.81654,-0.137,13.164,0.549,14.427,13.164,12.615,12.364,12.224,0.004,0.003,0.003,0.002,0.005
95_73,67,0,58.87939,-0.17523,12.627,0.541,14.026,12.627,12.086,11.858,11.742,0.008,0.006,0.002,0.005,0.007
95_74,68,0,58.87972,-0.15405,12.062,0.878,14.176,12.062,11.184,10.828,10.621,0.016,0.002,0.003,0.003,0.003
95_231,69,0,58.91158,0.17883,14.404,0.28,15.81,14.404,14.124,14.033,13.984,0.007,0.004,0.005,0.007,0.008
95_149,70,0,58.93502,0.11739,11.701,1.326,14.882,11.701,10.375,9.75,9.379,0.012,0.004,0.004,0.005,0.005
95_236,71,0,59.05545,0.14609,11.826,0.539,13.24,11.826,11.287,11.091,11.007,0.006,0.003,0.003,0.004,0.005
ugrizJ035936.8-600439,72,0,59.903625,-60.077694,12.303,0.782,14.443,12.303,11.521,11.208,11.062,0.005,0.003,0.003,0.004,0.003
ugrizJ035938.8-600033,73,0,59.912,-60.009278,13.463,0.432,14.678,13.463,13.031,12.882,12.841,0.004,0.003,0.003,0.002,0.002
ugrizJ035945.0-300525,74,0,59.937708,-30.090278,11.601,0.758,13.912,11.601,10.843,10.585,10.468,0.004,0.002,0.003,0.004,0.003
ugrizJ040004.1-300521,75,0,60.017333,-30.089389,12.82,0.591,14.471,12.82,12.229,12.021,11.951,0.004,0.002,0.002,0.003,0.002
ugrizJ040023.8-595709,76,0,60.099417,-59.9525,13.154,0.703,15.082,13.154,12.451,12.181,12.045,0.004,0.002,0.002,0.002,0.001
ugrizJ040048.1-600538,77,0,60.200583,-60.093889,14.295,0.249,15.384,14.295,14.046,13.996,14.009,0.003,0.003,0.003,0.003,0.005
ugrizJ040051.6-600824,78,0,60.215,-60.140083,13.046,0.522,14.487,13.046,12.524,12.314,12.24,0.002,0.003,0.003,0.003,0.001
ugrizJ040107.8-600540,79,0,60.282583,-60.094583,13.127,0.327,14.248,13.127,12.8,12.693,12.683,0.003,0.003,0.002,0.002,0.002
ugrizJ040113.2-600418,80,0,60.30525,-60.071694,12.721,0.35,13.811,12.721,12.371,12.241,12.218,0.005,0.002,0.002,0.002,0.003
ugrizJ040228.4-445226,81,0,60.618667,-44.874,13.685,0.419,14.954,13.685,13.266,13.128,13.114,0.003,0.003,0.002,0.003,0.004
E2_o,82,0,60.63271,-44.78564,14.34,0.386,15.544,14.34,13.954,13.851,13.838,0.006,0.002,0.002,0.002,0.002
E2_s,83,0,60.65217,-44.79953,14.927,0.511,16.478,14.927,14.416,14.293,14.26,0.013,0.002,0.002,0.002,0.003
E2_m,84,0,60.67025,-44.752389,13.469,0.605,15.254,13.469,12.864,12.698,12.637,0.004,0.002,0.002,0.002,0.003
E2_I,85,0,60.68483,-44.79394,16.146,0.683,18.111,16.146,15.463,15.249,15.143,0.02,0.005,0.005,0.008,0.006
E2_t,86,0,60.706,-44.757778,15.445,0.422,16.617,15.445,15.023,14.897,14.858,0.005,0.003,0.003,0.004,0.006
ugrizJ040249.5-444557,87,0,60.706625,-44.765889,14.585,0.43,15.82,14.585,14.155,14.02,13.984,0.004,0.003,0.003,0.002,0.004
ugrizJ040305.8-445147,88,0,60.774375,-44.863278,13.717,0.402,14.954,13.717,13.315,13.194,13.172,0.003,0.002,0.002,0.002,0.002
E2_l,89,0,60.84012,-44.75528,13.257,0.432,14.531,13.257,12.825,12.685,12.639,0.007,0.002,0.001,0.002,0.002
ugrizJ040323.1-444328,90,0,60.846583,-44.7245,14.13,0.437,15.354,14.13,13.693,13.507,13.421,0.004,0.003,0.001,0.002,0.003
BD+21o607,91,0,63.65029007216624,22.3497218025,9.395,0.281,10.289,9.395,9.114,9.025,9.017,0.002,0.001,0.001,0.001,0.001
BD-21o910,92,0,68.31737169582313,-21.136109988444446,10.082,0.474,11.446,10.082,9.608,9.465,9.429,0.006,0.002,0.002,0.002,0.003
ugrizJ044604.9-835718,93,0,71.520542,-83.955,14.638,0.497,15.964,14.638,14.141,13.936,13.83,0.009,0.004,0.004,0.004,0.007
ugrizJ044817.5-840132,94,0,72.073,-84.025778,13.247,0.499,14.582,13.247,12.748,12.564,12.466,0.004,0.002,0.002,0.003,0.006
96_36,95,0,72.9263281802901,-0.1692859361111111,10.641,0.027,11.837,10.641,10.614,10.693,10.765,0.004,0.002,0.002,0.002,0.002
96_737,96,0,73.14713,0.37523,12.374,1.099,15.144,12.374,11.275,10.783,10.512,0.009,0.003,0.003,0.003,0.003
96_83,97,0,73.24488,-0.24474,11.739,-0.054,12.976,11.739,11.793,11.903,11.951,0.007,0.002,0.003,0.002,0.003
96_235,98,0,73.32838,-0.08351,11.634,0.814,13.942,11.634,10.82,10.532,10.371,0.007,0.001,0.001,0.001,0.002
ugrizJ051928.0-485735,99,0,79.86675,-48.959889,12.14,0.412,13.312,12.14,11.728,11.593,11.56,0.002,0.003,0.002,0.004,0.002
ugrizJ051944.4-485737,100,0,79.935,-48.9605,13.818,0.442,15.127,13.818,13.376,13.251,13.214,0.003,0.002,0.002,0.001,0.002
ugrizJ051949.7-485934,101,0,79.957083,-48.992889,12.554,0.578,14.288,12.554,11.976,11.823,11.765,0.003,0.002,0.002,0.001,0.001
ugrizJ051956.5-490417,102,0,79.98575,-49.0715,11.897,0.27,12.921,11.897,11.627,11.564,11.576,0.002,0.001,0.002,0.002,0.002
